2017-04-14 18:54:20,642 - root - INFO - Epoch:1, Episode:17, Steps Left:25999/5000/100000, Reward:-171.000000, fps:530.684781, Exploration:0.886020, Collision:[-120. -119.  -93.], Reward Behavior:[ 28.  25.  21.   0.], Avg Loss:3.111657/100, Avg Q Value:0.566931/562 
2017-04-14 18:54:29,759 - root - INFO - Epoch:1, Episode:18, Steps Left:20999/5000/100000, Reward:-73.000000, fps:548.450623, Exploration:0.881520, Collision:[ -95. -100.  -97.], Reward Behavior:[ 42.  27.  31.   0.], Avg Loss:3.677428/100, Avg Q Value:0.546582/556 
2017-04-14 18:54:38,969 - root - INFO - Epoch:1, Episode:19, Steps Left:15999/5000/100000, Reward:-108.000000, fps:542.914346, Exploration:0.877020, Collision:[-111.  -97.  -91.], Reward Behavior:[ 28.  27.  34.   0.], Avg Loss:3.243325/100, Avg Q Value:0.537131/625 
2017-04-14 18:54:48,270 - root - INFO - Epoch:1, Episode:20, Steps Left:10999/5000/100000, Reward:-113.000000, fps:537.626831, Exploration:0.872520, Collision:[-116. -111.  -82.], Reward Behavior:[ 26.  39.  30.   0.], Avg Loss:3.259865/100, Avg Q Value:0.552632/599 
2017-04-14 18:54:57,711 - root - INFO - Epoch:1, Episode:21, Steps Left:5999/5000/100000, Reward:-186.000000, fps:529.595433, Exploration:0.868020, Collision:[-122. -122.  -98.], Reward Behavior:[ 28.  20.  25.   0.], Avg Loss:3.378460/100, Avg Q Value:0.500491/658 
2017-04-14 18:55:07,060 - root - INFO - Epoch:1, Episode:22, Steps Left:999/5000/100000, Reward:-123.000000, fps:534.887450, Exploration:0.863520, Collision:[-133.  -95.  -97.], Reward Behavior:[ 40.  24.  30.   0.], Avg Loss:3.227991/100, Avg Q Value:0.541156/609 
2017-04-14 18:55:16,610 - root - INFO - Epoch:1, Episode:23, Steps Left:-4001/5000/100000, Reward:-144.000000, fps:523.558670, Exploration:0.859020, Collision:[-130.  -90.  -90.], Reward Behavior:[ 35.  14.  29.   0.], Avg Loss:3.657277/100, Avg Q Value:0.534326/717 
2017-04-14 18:55:16,613 - root - INFO - Epoch:1, FPS:524.763033, Avg Reward: -111.304348/23
2017-04-14 18:55:25,898 - root - INFO - Epoch:2, Episode:1, Steps Left:95000/5000/100000, Reward:-136.000000, fps:538.505100, Exploration:0.854520, Collision:[-107. -121.  -82.], Reward Behavior:[ 37.  24.  22.   0.], Avg Loss:3.836703/100, Avg Q Value:0.536792/716 
2017-04-14 18:55:35,107 - root - INFO - Epoch:2, Episode:2, Steps Left:90000/5000/100000, Reward:-127.000000, fps:542.978431, Exploration:0.850020, Collision:[-99. -87. -90.], Reward Behavior:[ 20.  17.  35.   0.], Avg Loss:3.478635/100, Avg Q Value:0.500178/707 
2017-04-14 18:55:44,576 - root - INFO - Epoch:2, Episode:3, Steps Left:85000/5000/100000, Reward:-98.000000, fps:528.111089, Exploration:0.845520, Collision:[ -96. -107.  -86.], Reward Behavior:[ 30.  36.  23.   0.], Avg Loss:3.403068/100, Avg Q Value:0.558875/747 
2017-04-14 18:55:54,034 - root - INFO - Epoch:2, Episode:4, Steps Left:80000/5000/100000, Reward:-120.000000, fps:528.671053, Exploration:0.841020, Collision:[-100. -102.  -97.], Reward Behavior:[ 36.  24.  25.   0.], Avg Loss:3.704050/100, Avg Q Value:0.590115/802 
2017-04-14 18:56:03,493 - root - INFO - Epoch:2, Episode:5, Steps Left:75000/5000/100000, Reward:-125.000000, fps:528.577326, Exploration:0.836520, Collision:[-111.  -99.  -71.], Reward Behavior:[ 21.  21.  29.   0.], Avg Loss:3.682101/100, Avg Q Value:0.544314/814 
2017-04-14 18:56:06,781 - root - INFO - Epoch:2, Episode:6, Steps Left:73233/1767/100000, Reward:-34.000000, fps:537.504543, Exploration:0.834928, Collision:[-37. -32. -26.], Reward Behavior:[ 11.   8.  10.   0.], Avg Loss:3.556615/36, Avg Q Value:0.516254/289 
2017-04-14 18:56:16,329 - root - INFO - Epoch:2, Episode:7, Steps Left:68233/5000/100000, Reward:-64.000000, fps:523.710295, Exploration:0.830428, Collision:[-101.  -98.  -84.], Reward Behavior:[ 23.  39.  41.   0.], Avg Loss:3.419714/100, Avg Q Value:0.591755/848 
2017-04-14 18:56:25,907 - root - INFO - Epoch:2, Episode:8, Steps Left:63233/5000/100000, Reward:-97.000000, fps:522.040836, Exploration:0.825928, Collision:[-110.  -99.  -78.], Reward Behavior:[ 17.  33.  39.   0.], Avg Loss:3.479565/100, Avg Q Value:0.600904/870 
2017-04-14 18:56:34,599 - root - INFO - Epoch:2, Episode:9, Steps Left:58607/4626/100000, Reward:-80.000000, fps:532.290743, Exploration:0.821764, Collision:[-110.  -92.  -77.], Reward Behavior:[ 23.  39.  35.   0.], Avg Loss:3.583235/92, Avg Q Value:0.572484/810 
