2017-04-14 15:44:21,618 - root - INFO - Epoch:1, Episode:15, Steps Left:29723/5000/100000, Score:-108.000000, fps:514.090450, Exploration:0.890250, Collision:[ -98. -109.  -84.], Reward Behavior:[ 33.  19.  35.   0.], Avg Loss:3.528180/100, Avg Q Value:0.558640/516 
2017-04-14 15:44:30,811 - root - INFO - Epoch:1, Episode:16, Steps Left:24723/5000/100000, Score:-138.000000, fps:543.959366, Exploration:0.885750, Collision:[-102. -120.  -97.], Reward Behavior:[ 28.  23.  37.   0.], Avg Loss:3.547766/100, Avg Q Value:0.603229/558 
2017-04-14 15:44:40,159 - root - INFO - Epoch:1, Episode:17, Steps Left:19723/5000/100000, Score:-127.000000, fps:534.862035, Exploration:0.881250, Collision:[-104.  -92. -102.], Reward Behavior:[ 33.  19.  30.   0.], Avg Loss:3.445451/100, Avg Q Value:0.600296/580 
2017-04-14 15:44:49,564 - root - INFO - Epoch:1, Episode:18, Steps Left:14723/5000/100000, Score:-109.000000, fps:531.705895, Exploration:0.876750, Collision:[-83. -86. -87.], Reward Behavior:[ 26.  23.  21.   0.], Avg Loss:3.813559/100, Avg Q Value:0.617213/551 
2017-04-14 15:44:59,170 - root - INFO - Epoch:1, Episode:19, Steps Left:9723/5000/100000, Score:-101.000000, fps:520.513987, Exploration:0.872250, Collision:[ -98. -106. -105.], Reward Behavior:[ 41.  18.  36.   0.], Avg Loss:3.383776/100, Avg Q Value:0.620501/642 
2017-04-14 15:45:01,373 - root - INFO - Epoch:1, Episode:20, Steps Left:8508/1215/100000, Score:-36.000000, fps:551.642606, Exploration:0.871155, Collision:[-17. -24. -16.], Reward Behavior:[ 4.  1.  5.  0.], Avg Loss:3.313299/25, Avg Q Value:0.721020/169 
2017-04-14 15:45:09,256 - root - INFO - Epoch:1, Episode:21, Steps Left:4222/4286/100000, Score:-104.000000, fps:543.756605, Exploration:0.867297, Collision:[-106.  -79.  -72.], Reward Behavior:[ 12.  29.  34.   0.], Avg Loss:3.542390/85, Avg Q Value:0.733969/528 
2017-04-14 15:45:18,579 - root - INFO - Epoch:1, Episode:22, Steps Left:-778/5000/100000, Score:-203.000000, fps:536.364611, Exploration:0.862797, Collision:[-119. -116.  -91.], Reward Behavior:[ 27.  15.  15.   0.], Avg Loss:3.609294/100, Avg Q Value:0.672155/668 
2017-04-14 15:45:18,581 - root - INFO - Epoch:1, FPS:514.392444, Avg Reward: -123.090909/22
2017-04-14 15:45:28,551 - root - INFO - Epoch:2, Episode:1, Steps Left:95000/5000/100000, Score:-114.000000, fps:501.553363, Exploration:0.858297, Collision:[-105. -112.  -77.], Reward Behavior:[ 28.  35.  25.   0.], Avg Loss:3.344902/100, Avg Q Value:0.702962/719 
2017-04-14 15:45:38,202 - root - INFO - Epoch:2, Episode:2, Steps Left:90000/5000/100000, Score:-146.000000, fps:518.120910, Exploration:0.853797, Collision:[-105. -102.  -88.], Reward Behavior:[ 21.  21.  28.   0.], Avg Loss:3.707207/100, Avg Q Value:0.763469/743 
2017-04-14 15:45:48,087 - root - INFO - Epoch:2, Episode:3, Steps Left:85000/5000/100000, Score:-116.000000, fps:505.828814, Exploration:0.849297, Collision:[-112. -111.  -86.], Reward Behavior:[ 36.  27.  27.   0.], Avg Loss:3.733142/100, Avg Q Value:0.816390/766 
2017-04-14 15:45:57,822 - root - INFO - Epoch:2, Episode:4, Steps Left:80000/5000/100000, Score:-137.000000, fps:513.625821, Exploration:0.844797, Collision:[-107. -109.  -96.], Reward Behavior:[ 20.  26.  39.   0.], Avg Loss:3.906374/100, Avg Q Value:0.808851/769 
2017-04-14 15:46:06,540 - root - INFO - Epoch:2, Episode:5, Steps Left:75496/4504/100000, Score:-55.000000, fps:516.696737, Exploration:0.840742, Collision:[-97. -90. -72.], Reward Behavior:[ 50.  22.  22.   0.], Avg Loss:3.642451/90, Avg Q Value:0.889794/700 
